Item,Price,Who,IsTax
eggyolk cake,6.99,AC,Y
Onion,2.59,B,
Prok ham chunks,3.11,B,
Sliced white mushroom,2.59,B,
Pomegranate,5.98,ABC,
shopping bags,0.78,BC,
Samyang Chacaroni,6.99,AC,
Spinach,4.43,ABC,
suimi yacai,5.59,ABC,
Tofu soft,1.99,ABC,
Kimchi,8.99,BC,
Orange,8.13,ABC,
Soya drink,2.99,A,
Taiwan Guava,8.93,B,
Thyme,1.99,B,
Dumplings,7.99,ABC,
Turkey Drumstick,4.41,BC,
Tomato Paste,1.29,AC,
Long Bean,4.25,AC,
Tomato Garlic pasta sauce,4.99,AC,
Toilet bowl cleaner *3,8.46,ABC,
Dish Soap,7.88,BC,Y
Gloves,5.65,B,Y
